,note length,pitch
0,0.0,0.0
1,1.0,0.0
2,-2.0,2.0
3,0.0,1.0
4,1.0,-6.0
5,-1.0,3.0
6,0.0,-1.0
7,0.0,4.0
8,1.0,1.0
9,0.0,1.0
10,-1.0,-1.0
11,1.0,1.0
12,-0.0,-1.0
13,0.0,0.0
14,1.0,-7.0
15,-1.0,3.0
16,-1.0,0.0
17,0.0,0.0
18,0.0,-1.0
19,1.0,-2.0
20,1.0,-4.0
21,-2.0,10.0
22,0.0,1.0
23,0.0,-1.0
24,0.0,1.0
25,0.0,-2.0
26,1.0,-5.0
27,0.0,3.0
28,-1.0,-3.0
29,0.0,-2.0
30,0.0,-1.0
31,0.0,3.0
32,0.0,2.0
33,0.0,-2.0
34,1.0,-4.0
35,-1.0,-1.0
36,0.0,5.0
37,1.0,2.0
38,0.0,-2.0
39,1.0,-4.0
40,-2.0,-2.0
41,1.0,1.0
42,0.0,3.0
43,-1.0,8.0
44,0.0,1.0
45,0.0,1.0
46,1.0,-1.0
47,-0.0,-2.0
48,-1.0,-5.0
49,1.0,-4.0
50,1.0,-3.0
51,-2.0,12.0
52,0.0,-2.0
53,1.0,-1.0
54,-1.0,0.0
55,0.0,-3.0
56,0.0,-4.0
57,1.0,2.0
58,-1.0,-7.0
59,1.0,-2.0
60,-2.0,22.0
61,5.0,2.0
62,-5.0,-2.0
63,0.0,2.0
64,1.0,2.0
65,0.0,0.0
66,1.0,0.0
67,-1.0,-2.0
68,0.0,0.0
69,-1.0,-5.0
70,0.0,3.0
71,0.0,-1.0
72,0.0,-1.0
73,0.0,-1.0
74,1.0,0.0
75,-1.0,-2.0
76,-1.0,0.0
77,1.0,-2.0
78,-1.0,-3.0
79,0.0,3.0
80,0.0,-3.0
81,0.0,1.0
82,1.0,1.0
83,-1.0,-2.0
84,-2.0,-2.0
85,1.0,-2.0
86,0.0,10.0
87,0.0,1.0
88,-1.0,-1.0
89,0.0,1.0
90,1.0,-2.0
91,0.0,-5.0
92,1.0,3.0
93,-2.0,-3.0
94,-1.0,-2.0
95,2.0,-1.0
96,-1.0,3.0
97,0.0,3.0
98,1.0,-1.0
99,0.0,-2.0
100,0.0,2.0
101,0.0,-6.0
102,-2.0,11.0
103,0.0,1.0
104,0.0,1.0
105,3.0,1.0
106,-3.0,-1.0
107,0.0,-1.0
108,2.0,-1.0
109,-1.0,-1.0
110,0.0,1.0
111,0.0,1.0
112,1.0,-1.0
113,1.0,-2.0
114,-1.0,-5.0
115,0.0,3.0
116,-1.0,0.0
117,0.0,-1.0
118,-1.0,8.0
119,0.0,1.0
120,4.0,2.0
121,-3.0,-1.0
122,1.0,-2.0
123,0.0,-2.0
124,-0.0,-2.0
125,0.0,1.0
126,-1.0,3.0
127,1.0,-3.0
128,-1.0,3.0
129,-1.0,-1.0
130,2.0,-1.0
131,-2.0,-1.0
132,2.0,-1.0
133,-2.0,1.0
134,1.0,-1.0
135,0.0,1.0
136,0.0,-1.0
137,0.0,1.0
138,1.0,-2.0
139,0.0,-5.0
140,1.0,3.0
141,-1.0,-3.0
142,-1.0,6.0
143,-1.0,1.0
144,1.0,-1.0
145,0.0,1.0
146,1.0,3.0
147,0.0,-3.0
148,1.0,-4.0
149,-2.0,0.0
150,-1.0,0.0
151,2.0,-1.0
152,-2.0,0.0
153,2.0,-2.0
154,-1.0,-2.0
155,0.0,0.0
