,index,note length,pitch
0,1,0.0,1.0
1,3,0.0,2.0
2,5,-1.0,1.0
3,7,3.0,1.0
4,9,-1.0,-4.0
5,11,0.0,-1.0
6,13,-1.0,-3.0
7,15,0.0,1.0
8,17,0.0,6.0
9,19,0.0,1.0
10,21,0.0,4.0
11,23,0.0,4.0
12,25,1.0,4.0
13,27,0.0,-1.0
14,29,2.0,-6.0
15,31,-4.0,3.0
16,33,0.0,3.0
17,35,0.0,-3.0
18,37,1.0,-1.0
19,39,1.0,-2.0
20,41,-1.0,-1.0
21,43,-1.0,1.0
22,45,1.0,2.0
23,47,-1.0,-3.0
24,49,1.0,1.0
25,51,0.0,-4.0
26,53,0.0,-1.0
27,55,1.0,-2.0
28,57,-1.0,-2.0
29,59,-1.0,-1.0
30,61,2.0,-2.0
31,63,-1.0,2.0
32,65,0.0,-2.0
33,67,0.0,-1.0
34,69,0.0,-2.0
35,71,1.0,-1.0
36,73,-2.0,6.0
37,75,0.0,-3.0
38,77,1.0,1.0
39,79,0.0,7.0
40,81,0.0,1.0
41,83,3.0,1.0
42,85,-3.0,3.0
43,87,0.0,3.0
44,89,0.0,-8.0
45,91,1.0,1.0
46,93,-1.0,3.0
47,95,0.0,3.0
48,97,1.0,3.0
49,99,0.0,-9.0
50,101,-1.0,1.0
51,103,0.0,5.0
52,105,0.0,-1.0
53,107,1.0,-1.0
54,109,0.0,-1.0
55,111,0.0,1.0
56,113,0.0,2.0
57,115,-1.0,-3.0
58,117,0.0,1.0
59,119,1.0,-5.0
60,121,0.0,0.0
61,123,2.0,2.0
62,125,-2.0,-1.0
63,127,0.0,0.0
64,129,-1.0,-1.0
65,131,1.0,-4.0
66,133,-1.0,-3.0
67,135,2.0,2.0
68,137,-2.0,-2.0
69,139,0.0,8.0
70,141,0.0,1.0
71,143,-1.0,5.0
72,145,0.0,-1.0
73,147,0.0,-1.0
74,149,1.0,-1.0
75,151,0.0,1.0
76,153,0.0,1.0
77,155,0.0,1.0
78,157,0.0,1.0
79,159,0.0,-4.0
80,161,0.0,3.0
81,163,0.0,-2.0
82,165,0.0,-2.0
83,167,0.0,-1.0
84,169,0.0,-2.0
85,171,0.0,-4.0
86,173,0.0,-3.0
87,175,-1.0,1.0
88,177,2.0,1.0
89,179,-1.0,3.0
90,181,0.0,3.0
91,183,0.0,1.0
92,185,0.0,3.0
93,187,0.0,-3.0
94,189,0.0,1.0
95,191,0.0,2.0
96,193,0.0,1.0
97,195,0.0,1.0
98,197,0.0,5.0
99,199,-1.0,-2.0
100,201,1.0,-3.0
101,203,0.0,-6.0
102,205,0.0,1.0
103,207,0.0,1.0
104,209,-0.0,2.0
105,211,-1.0,1.0
106,213,0.0,1.0
107,215,0.0,-1.0
108,217,1.0,-1.0
109,219,0.0,-2.0
110,221,0.0,-3.0
111,223,-1.0,-2.0
112,225,1.0,-2.0
113,227,-1.0,-2.0
114,229,2.0,-1.0
115,231,0.0,8.0
116,233,-2.0,3.0
117,235,1.0,1.0
118,237,0.0,3.0
119,239,-1.0,-2.0
120,241,0.0,-1.0
121,243,1.0,-1.0
122,245,-2.0,-6.0
123,247,1.0,2.0
124,249,1.0,2.0
125,251,-1.0,2.0
126,253,-1.0,3.0
127,255,1.0,-2.0
128,257,0.0,-1.0
129,259,0.0,3.0
130,261,1.0,-3.0
131,263,-1.0,1.0
132,265,0.0,-4.0
133,267,-0.0,-1.0
134,269,1.0,3.0
135,271,1.0,2.0
136,273,-3.0,1.0
137,275,1.0,1.0
138,277,-1.0,5.0
139,279,4.0,-7.0
140,281,-3.0,-2.0
141,283,-1.0,1.0
142,285,2.0,8.0
143,287,2.0,-6.0
