,note length,pitch
0,1.0,1.0
1,2.0,1.0
2,-3.0,-2.0
3,0.0,-2.0
4,0.0,-1.0
5,0.0,-2.0
6,0.0,-2.0
7,2.0,-2.0
8,-1.0,-1.0
9,0.0,3.0
10,-1.0,2.0
11,0.0,3.0
12,0.0,4.0
13,2.0,-6.0
14,-3.0,6.0
15,0.0,-1.0
16,0.0,-1.0
17,1.0,-7.0
18,0.0,4.0
19,0.0,3.0
20,-0.0,5.0
21,-2.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,3.0,-6.0
26,-2.0,-3.0
27,0.0,1.0
28,2.0,-7.0
29,-1.0,-1.0
30,1.0,9.0
31,-3.0,-7.0
32,0.0,2.0
33,2.0,1.0
34,-0.0,-5.0
35,-1.0,2.0
36,0.0,3.0
37,0.0,-5.0
38,2.0,2.0
39,-2.0,4.0
40,0.0,-6.0
41,1.0,3.0
42,-2.0,3.0
43,1.0,-6.0
44,-1.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,1.0
48,0.0,3.0
49,1.0,-7.0
50,1.0,4.0
51,-2.0,1.0
52,0.0,1.0
53,1.0,1.0
54,-0.0,5.0
55,-1.0,-7.0
56,1.0,1.0
57,0.0,6.0
58,2.0,-7.0
59,-2.0,-4.0
60,-1.0,3.0
61,0.0,-2.0
62,3.0,7.0
63,-2.0,-8.0
64,0.0,1.0
65,-1.0,-2.0
66,0.0,1.0
67,2.0,7.0
68,0.0,-8.0
69,-1.0,4.0
70,-1.0,1.0
71,0.0,-5.0
72,0.0,5.0
73,0.0,1.0
74,0.0,-6.0
75,0.0,5.0
76,3.0,2.0
77,0.0,0.0
