,note length,pitch
0,0.0,-1.0
1,2.0,1.0
2,-2.0,-2.0
3,2.0,1.0
4,-3.0,-1.0
5,0.0,-2.0
6,0.0,-3.0
7,3.0,-2.0
8,0.0,-3.0
9,-1.0,12.0
10,-0.0,-2.0
11,1.0,1.0
12,-2.0,-1.0
13,-1.0,-2.0
14,2.0,-3.0
15,0.0,-2.0
16,0.0,5.0
17,-1.0,0.0
18,0.0,0.0
19,0.0,2.0
20,0.0,1.0
21,-1.0,-1.0
22,-0.0,-3.0
23,2.0,1.0
24,1.0,-2.0
25,-2.0,-1.0
26,0.0,1.0
27,0.0,0.0
28,-0.0,2.0
29,-1.0,4.0
30,0.0,5.0
31,1.0,-2.0
32,1.0,-3.0
33,-1.0,-1.0
34,0.0,-1.0
35,-2.0,-2.0
36,2.0,-5.0
37,-1.0,2.0
38,0.0,-2.0
39,0.0,5.0
40,-0.0,2.0
41,0.0,-5.0
42,0.0,-2.0
43,0.0,5.0
44,1.0,-8.0
45,-2.0,3.0
46,1.0,2.0
47,-1.0,3.0
48,1.0,2.0
49,0.0,2.0
50,-1.0,-1.0
51,1.0,1.0
52,0.0,-7.0
53,-0.0,3.0
54,0.0,-3.0
55,-1.0,-2.0
56,0.0,5.0
57,-0.0,2.0
58,1.0,2.0
59,-1.0,3.0
60,2.0,2.0
61,-1.0,-5.0
62,-1.0,-1.0
63,1.0,1.0
64,-2.0,0.0
65,2.0,-2.0
66,-0.0,1.0
67,1.0,-1.0
68,-1.0,-2.0
69,0.0,-5.0
70,-2.0,2.0
71,2.0,3.0
72,-2.0,-3.0
73,0.0,1.0
74,3.0,4.0
75,0.0,-2.0
76,-2.0,-3.0
77,-1.0,-2.0
78,2.0,-3.0
79,0.0,3.0
80,-1.0,-4.0
81,1.0,1.0
82,-1.0,-2.0
83,2.0,-2.0
84,-1.0,-3.0
85,-1.0,3.0
86,-1.0,-4.0
87,1.0,1.0
88,0.0,3.0
89,-1.0,2.0
90,1.0,1.0
91,1.0,1.0
92,-1.0,5.0
93,0.0,7.0
94,1.0,5.0
95,0.0,1.0
96,-1.0,-1.0
97,0.0,-2.0
98,0.0,-3.0
99,0.0,-1.0
100,0.0,1.0
101,0.0,-2.0
102,1.0,-2.0
103,-2.0,2.0
104,2.0,1.0
105,0.0,-1.0
106,-1.0,-2.0
107,0.0,-5.0
108,-1.0,2.0
109,1.0,3.0
110,0.0,2.0
111,0.0,-2.0
112,0.0,-5.0
113,1.0,-3.0
114,-1.0,6.0
115,1.0,-1.0
116,-0.0,0.0
117,-2.0,0.0
118,2.0,3.0
119,-1.0,-3.0
120,-1.0,5.0
121,1.0,2.0
122,1.0,-1.0
123,0.0,1.0
124,-2.0,5.0
125,2.0,-2.0
126,-1.0,2.0
127,1.0,2.0
128,0.0,0.0
