,note length,pitch
0,-3.0,-2.0
1,0.0,0.0
2,0.0,0.0
3,0.0,-1.0
4,0.0,0.0
5,0.0,0.0
6,0.0,-2.0
7,0.0,0.0
8,0.0,0.0
9,0.0,-2.0
10,0.0,0.0
11,0.0,0.0
12,0.0,-1.0
13,0.0,0.0
14,0.0,0.0
15,0.0,-2.0
16,0.0,0.0
17,0.0,0.0
18,0.0,-1.0
19,0.0,0.0
20,-0.0,0.0
21,0.0,3.0
22,0.0,-3.0
23,1.0,1.0
24,-1.0,2.0
25,0.0,1.0
26,1.0,2.0
27,-1.0,-2.0
28,1.0,-1.0
29,0.0,-2.0
30,-1.0,-2.0
31,-0.0,-3.0
32,0.0,1.0
33,0.0,2.0
34,-0.0,-3.0
35,0.0,1.0
36,0.0,5.0
37,-0.0,-3.0
38,0.0,1.0
39,0.0,2.0
40,-0.0,-3.0
41,0.0,1.0
42,2.0,3.0
43,-2.0,-3.0
44,0.0,1.0
45,1.0,2.0
46,-1.0,-2.0
47,0.0,-5.0
48,1.0,-2.0
49,1.0,0.0
50,-2.0,2.0
51,1.0,2.0
52,-1.0,0.0
53,0.0,2.0
54,1.0,1.0
55,-1.0,0.0
56,0.0,2.0
57,0.0,1.0
58,0.0,-1.0
59,0.0,-2.0
60,0.0,-1.0
61,0.0,3.0
62,0.0,-3.0
63,0.0,1.0
64,0.0,2.0
65,0.0,1.0
66,0.0,3.0
67,0.0,1.0
68,-1.0,-3.0
69,0.0,1.0
70,1.0,-2.0
71,0.0,-1.0
72,0.0,-2.0
73,1.0,-1.0
74,-1.0,3.0
75,0.0,-3.0
76,1.0,1.0
77,-1.0,2.0
78,0.0,1.0
79,0.0,2.0
80,1.0,2.0
81,-1.0,-2.0
82,-0.0,-2.0
83,0.0,2.0
84,0.0,-2.0
85,-0.0,-1.0
86,0.0,1.0
87,0.0,-1.0
88,-1.0,-2.0
89,2.0,2.0
90,-1.0,-2.0
91,-1.0,-3.0
92,2.0,3.0
93,-1.0,-1.0
94,-1.0,-3.0
95,2.0,3.0
96,-1.0,-2.0
97,0.0,-2.0
98,1.0,2.0
99,0.0,0.0
100,-1.0,5.0
101,0.0,1.0
102,0.0,-1.0
103,0.0,-2.0
104,-0.0,-1.0
105,0.0,3.0
106,0.0,3.0
107,0.0,2.0
108,1.0,1.0
109,-1.0,-6.0
110,2.0,5.0
111,-2.0,-2.0
112,0.0,-1.0
113,0.0,0.0
114,1.0,-2.0
115,0.0,-2.0
116,-1.0,-1.0
117,1.0,-1.0
118,1.0,4.0
119,0.0,-2.0
120,-2.0,-2.0
121,1.0,-1.0
122,-1.0,0.0
123,0.0,1.0
124,1.0,2.0
125,-1.0,2.0
126,0.0,1.0
127,0.0,2.0
128,2.0,2.0
129,-0.0,3.0
130,0.0,-1.0
131,0.0,-2.0
132,0.0,1.0
133,0.0,-8.0
134,0.0,7.0
135,2.0,-2.0
136,-2.0,3.0
137,0.0,-3.0
138,0.0,-3.0
139,0.0,-4.0
140,0.0,9.0
141,0.0,-4.0
142,-0.0,-3.0
143,0.0,-4.0
144,1.0,9.0
145,-1.0,-4.0
146,0.0,-3.0
147,0.0,-3.0
148,1.0,8.0
149,-1.0,-3.0
150,1.0,-2.0
151,0.0,-2.0
152,0.0,2.0
153,0.0,-2.0
154,3.0,-1.0
155,-3.0,15.0
156,2.0,-15.0
157,-3.0,3.0
158,0.0,1.0
159,0.0,1.0
160,0.0,2.0
161,0.0,1.0
162,0.0,2.0
163,1.0,2.0
164,0.0,1.0
165,1.0,2.0
166,-2.0,-2.0
167,0.0,-1.0
168,1.0,1.0
169,-1.0,-3.0
170,1.0,2.0
171,-1.0,-4.0
172,1.0,2.0
173,-1.0,-3.0
174,1.0,1.0
175,-1.0,-4.0
176,1.0,3.0
177,-1.0,-3.0
178,1.0,1.0
179,0.0,-5.0
180,1.0,0.0
181,-2.0,-2.0
182,0.0,2.0
183,1.0,1.0
184,-1.0,0.0
185,0.0,2.0
186,-1.0,1.0
187,0.0,-1.0
188,1.0,-2.0
189,-1.0,-1.0
190,1.0,-1.0
191,-1.0,-3.0
192,2.0,-1.0
193,-1.0,3.0
194,2.0,2.0
195,-1.0,2.0
196,-2.0,2.0
197,1.0,1.0
198,-1.0,-1.0
199,0.0,1.0
200,0.0,2.0
201,0.0,1.0
202,0.0,-1.0
203,0.0,1.0
204,0.0,0.0
205,0.0,0.0
206,0.0,-1.0
207,0.0,1.0
208,0.0,-1.0
209,1.0,1.0
210,-1.0,2.0
211,0.0,1.0
212,0.0,-1.0
213,0.0,1.0
214,0.0,-1.0
215,0.0,1.0
216,0.0,-1.0
217,0.0,1.0
218,0.0,-1.0
219,2.0,-2.0
220,-1.0,4.0
221,1.0,-2.0
222,-2.0,-2.0
223,3.0,2.0
224,-2.0,-2.0
225,-1.0,-1.0
226,1.0,-6.0
227,1.0,0.0
228,-2.0,7.0
229,0.0,-1.0
230,1.0,-2.0
231,0.0,-1.0
232,0.0,-3.0
233,0.0,-1.0
234,-1.0,-2.0
235,1.0,-1.0
236,0.0,3.0
237,0.0,3.0
238,1.0,4.0
239,-1.0,7.0
240,1.0,1.0
241,-1.0,-3.0
242,1.0,2.0
243,-1.0,-4.0
244,0.0,2.0
245,1.0,-4.0
246,0.0,2.0
247,0.0,-3.0
248,0.0,1.0
249,0.0,-3.0
250,0.0,2.0
251,1.0,-4.0
252,-1.0,-5.0
253,0.0,2.0
254,0.0,1.0
255,0.0,4.0
256,0.0,7.0
257,0.0,-2.0
258,-1.0,-2.0
259,0.0,-1.0
260,2.0,1.0
261,-1.0,-1.0
262,1.0,-1.0
263,-2.0,-5.0
264,1.0,4.0
265,-1.0,-5.0
266,1.0,3.0
267,0.0,-2.0
268,0.0,-1.0
269,0.0,1.0
270,0.0,4.0
271,-1.0,2.0
272,2.0,1.0
273,-0.0,-8.0
274,-2.0,5.0
275,0.0,2.0
276,2.0,1.0
277,-1.0,-7.0
278,-1.0,5.0
279,0.0,2.0
280,2.0,2.0
281,-1.0,-9.0
282,-1.0,5.0
283,0.0,2.0
284,2.0,2.0
285,-2.0,-10.0
286,0.0,5.0
287,0.0,2.0
288,0.0,1.0
289,0.0,2.0
290,1.0,2.0
291,0.0,0.0
292,0.0,0.0
293,-1.0,0.0
294,1.0,0.0
295,0.0,1.0
296,-1.0,-1.0
297,0.0,-2.0
298,1.0,-2.0
299,1.0,2.0
300,-2.0,-2.0
301,-1.0,-1.0
302,0.0,-2.0
303,1.0,-1.0
304,-1.0,6.0
305,2.0,0.0
306,0.0,2.0
307,0.0,5.0
308,0.0,-1.0
309,0.0,-4.0
310,-1.0,3.0
311,1.0,-1.0
312,0.0,-4.0
313,0.0,3.0
314,0.0,-1.0
315,0.0,-2.0
316,-1.0,-2.0
317,0.0,-1.0
318,0.0,-2.0
319,1.0,3.0
320,-2.0,-4.0
