,note length,pitch
0,0.0,3.0
1,1.0,-5.0
2,-2.0,-3.0
3,0.0,1.0
4,0.0,2.0
5,-0.0,-3.0
6,0.0,1.0
7,0.0,2.0
8,0.0,2.0
9,0.0,1.0
10,0.0,2.0
11,0.0,2.0
12,0.0,2.0
13,0.0,1.0
14,3.0,2.0
15,-1.0,-2.0
16,-1.0,-1.0
17,1.0,-2.0
18,0.0,-2.0
19,-2.0,-2.0
20,1.0,-1.0
21,0.0,1.0
22,0.0,4.0
23,-1.0,-2.0
24,0.0,-2.0
25,0.0,-1.0
26,2.0,-2.0
27,-2.0,-2.0
28,-1.0,-1.0
29,0.0,1.0
30,0.0,2.0
31,3.0,-5.0
32,-2.0,-2.0
33,1.0,5.0
34,-1.0,4.0
35,1.0,3.0
36,-1.0,-3.0
37,-1.0,1.0
38,0.0,4.0
39,0.0,3.0
40,0.0,4.0
41,3.0,-2.0
42,-0.0,2.0
43,-0.0,-2.0
44,0.0,-3.0
45,0.0,-2.0
46,0.0,-2.0
47,0.0,-3.0
48,-1.0,-4.0
49,-1.0,2.0
50,2.0,-5.0
51,-0.0,-2.0
52,-2.0,7.0
53,0.0,-3.0
54,0.0,1.0
55,0.0,2.0
56,0.0,2.0
57,1.0,1.0
58,1.0,-6.0
59,-2.0,-2.0
60,0.0,-2.0
61,0.0,2.0
62,0.0,2.0
63,-1.0,1.0
64,0.0,2.0
65,0.0,2.0
66,0.0,1.0
67,0.0,2.0
68,0.0,2.0
69,0.0,-8.0
70,0.0,1.0
71,0.0,2.0
72,0.0,1.0
73,0.0,2.0
74,0.0,1.0
75,0.0,1.0
76,0.0,3.0
77,0.0,-12.0
78,0.0,-1.0
79,0.0,1.0
80,-1.0,2.0
81,0.0,1.0
82,0.0,2.0
83,0.0,2.0
84,1.0,2.0
85,-1.0,3.0
86,1.0,2.0
87,2.0,2.0
88,0.0,3.0
89,-2.0,-3.0
90,0.0,-4.0
91,2.0,-3.0
92,-1.0,3.0
93,1.0,4.0
94,-2.0,-4.0
95,0.0,-3.0
96,1.0,-4.0
97,2.0,-3.0
98,-1.0,9.0
99,1.0,3.0
100,-1.0,-3.0
101,-1.0,-4.0
102,2.0,-3.0
103,-2.0,-4.0
104,2.0,2.0
105,1.0,-4.0
106,-1.0,2.0
107,2.0,13.0
108,-3.0,-2.0
109,0.0,2.0
110,1.0,-3.0
111,0.0,-2.0
112,0.0,2.0
113,1.0,-4.0
114,-2.0,-1.0
115,1.0,1.0
116,2.0,-3.0
117,-2.0,-2.0
118,0.0,2.0
119,1.0,-3.0
120,-1.0,1.0
121,0.0,-3.0
122,-1.0,2.0
123,2.0,-4.0
124,-2.0,2.0
125,0.0,2.0
126,0.0,1.0
127,0.0,2.0
128,0.0,2.0
129,0.0,1.0
130,0.0,2.0
131,0.0,2.0
132,0.0,2.0
133,0.0,1.0
134,1.0,4.0
135,1.0,3.0
136,-2.0,-3.0
137,1.0,1.0
138,-1.0,-1.0
139,0.0,-2.0
140,1.0,-1.0
141,1.0,-1.0
142,-1.0,-3.0
143,0.0,-4.0
144,0.0,-3.0
145,-1.0,9.0
146,0.0,-4.0
147,0.0,-3.0
148,0.0,-4.0
149,-0.0,-3.0
150,1.0,12.0
151,-1.0,-4.0
152,1.0,-3.0
153,-1.0,-5.0
154,0.0,3.0
155,0.0,-2.0
156,0.0,1.0
157,0.0,8.0
158,0.0,-3.0
159,0.0,1.0
160,1.0,4.0
161,0.0,2.0
162,0.0,1.0
163,0.0,0.0
164,0.0,4.0
165,0.0,0.0
166,0.0,-7.0
167,0.0,0.0
168,0.0,3.0
169,0.0,0.0
170,0.0,1.0
171,0.0,0.0
172,0.0,-3.0
173,0.0,0.0
174,0.0,-4.0
175,0.0,0.0
176,1.0,-3.0
177,0.0,1.0
178,-0.0,-1.0
179,-2.0,-2.0
180,2.0,3.0
181,-0.0,-1.0
182,0.0,-9.0
183,-1.0,0.0
184,0.0,4.0
185,-0.0,3.0
186,0.0,3.0
187,1.0,-1.0
188,-2.0,1.0
189,0.0,4.0
190,0.0,3.0
191,2.0,4.0
192,1.0,3.0
193,-3.0,-3.0
194,0.0,1.0
195,1.0,-4.0
196,0.0,3.0
197,0.0,-2.0
198,1.0,-5.0
199,-3.0,3.0
200,0.0,2.0
201,0.0,-2.0
202,1.0,-3.0
203,-1.0,-4.0
204,1.0,-3.0
205,0.0,3.0
206,0.0,4.0
207,0.0,3.0
208,1.0,4.0
209,0.0,-2.0
210,0.0,-2.0
211,0.0,-3.0
212,0.0,-2.0
213,0.0,-2.0
214,0.0,-5.0
215,0.0,-3.0
216,0.0,7.0
217,0.0,-2.0
218,1.0,2.0
219,1.0,1.0
220,-0.0,-1.0
221,-0.0,-9.0
222,-1.0,0.0
223,1.0,7.0
224,0.0,3.0
225,-0.0,4.0
226,-2.0,-5.0
227,2.0,8.0
228,-1.0,-3.0
229,-1.0,-10.0
230,0.0,1.0
231,0.0,2.0
232,0.0,2.0
233,0.0,1.0
234,0.0,2.0
235,0.0,2.0
236,0.0,2.0
237,2.0,1.0
238,-0.0,2.0
239,-2.0,-2.0
240,0.0,-1.0
241,0.0,-2.0
242,2.0,-2.0
243,-2.0,-1.0
244,0.0,1.0
245,1.0,2.0
246,0.0,-2.0
247,-1.0,-2.0
248,0.0,-1.0
249,0.0,-2.0
250,-0.0,2.0
251,0.0,-2.0
252,0.0,-1.0
253,0.0,1.0
254,0.0,2.0
255,0.0,-3.0
256,0.0,1.0
257,0.0,2.0
258,2.0,1.0
259,-2.0,-6.0
260,0.0,5.0
261,0.0,-2.0
262,0.0,-3.0
263,0.0,-2.0
264,0.0,-2.0
265,-1.0,-1.0
266,0.0,-1.0
267,0.0,-1.0
268,3.0,12.0
269,1.0,8.0
270,-1.0,4.0
271,-1.0,0.0
272,-1.0,-4.0
273,2.0,0.0
274,0.0,0.0
275,0.0,0.0
276,-1.0,0.0
277,-1.0,-3.0
278,2.0,0.0
279,0.0,0.0
280,0.0,0.0
281,-1.0,0.0
282,-1.0,-5.0
283,2.0,0.0
284,0.0,0.0
285,-0.0,0.0
286,-1.0,0.0
287,1.0,5.0
288,0.0,3.0
289,-1.0,4.0
290,-0.0,3.0
291,-1.0,-1.0
292,0.0,-1.0
293,0.0,-1.0
294,0.0,1.0
295,0.0,-1.0
296,1.0,-1.0
297,1.0,-1.0
298,-1.0,2.0
299,0.0,-1.0
300,0.0,-1.0
301,1.0,-2.0
302,1.0,2.0
303,-2.0,-2.0
304,0.0,-1.0
305,0.0,-2.0
306,1.0,-2.0
307,-1.0,2.0
308,0.0,-4.0
309,-0.0,-1.0
310,0.0,-2.0
311,0.0,-1.0
312,0.0,-4.0
313,0.0,7.0
314,0.0,-3.0
315,0.0,1.0
316,0.0,2.0
317,0.0,1.0
318,0.0,2.0
319,0.0,1.0
320,0.0,1.0
321,0.0,3.0
322,0.0,-3.0
323,0.0,2.0
324,0.0,-2.0
325,0.0,-2.0
326,0.0,-2.0
327,0.0,-1.0
328,0.0,-2.0
329,0.0,-1.0
330,0.0,-4.0
331,0.0,3.0
332,0.0,-3.0
333,0.0,5.0
334,1.0,2.0
335,-1.0,-4.0
336,2.0,7.0
337,-0.0,1.0
338,-2.0,-1.0
339,0.0,-1.0
340,0.0,2.0
341,0.0,2.0
342,0.0,2.0
343,3.0,5.0
344,-2.0,-4.0
345,2.0,-3.0
346,-2.0,3.0
347,-2.0,-3.0
348,2.0,-6.0
349,0.0,-3.0
350,-1.0,-5.0
351,-1.0,0.0
352,0.0,2.0
353,0.0,2.0
354,0.0,1.0
355,0.0,2.0
356,0.0,2.0
357,0.0,1.0
358,0.0,2.0
359,0.0,2.0
360,0.0,2.0
361,0.0,1.0
362,0.0,2.0
363,2.0,2.0
364,0.0,-4.0
365,0.0,2.0
366,-2.0,-3.0
367,0.0,1.0
368,2.0,-3.0
369,-1.0,-4.0
370,0.0,-1.0
371,-1.0,-2.0
372,2.0,5.0
373,-2.0,-2.0
374,0.0,2.0
375,0.0,2.0
376,0.0,-4.0
377,0.0,-3.0
378,0.0,-5.0
379,0.0,3.0
380,0.0,9.0
381,-1.0,-4.0
382,1.0,-3.0
383,0.0,-5.0
