,note length,pitch
0,0.0,1.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,1.0
9,1.0,3.0
10,-1.0,-4.0
11,0.0,0.0
12,0.0,0.0
13,0.0,1.0
14,1.0,2.0
15,-1.0,-4.0
16,2.0,1.0
17,-1.0,1.0
18,0.0,3.0
19,0.0,3.0
20,0.0,0.0
21,0.0,-3.0
22,-0.0,-4.0
23,0.0,-2.0
24,1.0,2.0
25,-2.0,1.0
26,0.0,2.0
27,1.0,1.0
28,-1.0,5.0
29,0.0,-2.0
30,-1.0,-3.0
31,1.0,-4.0
32,0.0,-2.0
33,-1.0,3.0
34,1.0,2.0
35,-0.0,1.0
36,1.0,-1.0
37,0.0,-3.0
38,1.0,0.0
39,-2.0,-3.0
40,-1.0,4.0
41,0.0,5.0
42,0.0,3.0
43,3.0,1.0
44,-2.0,2.0
45,0.0,-1.0
46,-1.0,-2.0
47,0.0,-3.0
48,0.0,-3.0
49,-0.0,-6.0
50,2.0,1.0
51,-2.0,-1.0
52,2.0,-2.0
53,0.0,2.0
54,-1.0,0.0
55,1.0,3.0
56,-0.0,-2.0
57,0.0,-3.0
58,0.0,1.0
59,0.0,4.0
60,2.0,0.0
61,-2.0,0.0
62,-1.0,-3.0
63,-1.0,7.0
64,2.0,1.0
65,0.0,2.0
66,-1.0,-3.0
67,0.0,-1.0
68,1.0,-3.0
69,0.0,0.0
70,-2.0,-3.0
71,1.0,-2.0
72,0.0,5.0
73,1.0,0.0
74,-1.0,6.0
75,1.0,1.0
76,-0.0,-2.0
77,0.0,-5.0
78,-1.0,-4.0
79,1.0,-3.0
80,1.0,0.0
81,-1.0,4.0
82,0.0,0.0
83,0.0,4.0
84,0.0,2.0
85,-1.0,3.0
86,-1.0,-1.0
87,1.0,-2.0
88,1.0,-3.0
89,1.0,0.0
90,-3.0,-3.0
91,2.0,1.0
92,0.0,2.0
93,-0.0,-2.0
94,1.0,0.0
95,-2.0,-2.0
96,1.0,0.0
97,-1.0,-5.0
98,2.0,6.0
99,-0.0,-1.0
100,-1.0,7.0
101,0.0,1.0
102,2.0,1.0
103,-1.0,-1.0
104,-1.0,-4.0
105,1.0,-5.0
106,-1.0,5.0
107,0.0,0.0
108,1.0,7.0
109,-3.0,-3.0
110,1.0,1.0
111,1.0,0.0
112,-1.0,0.0
113,1.0,-1.0
114,-1.0,-2.0
115,2.0,-2.0
116,-1.0,0.0
117,0.0,3.0
118,0.0,-3.0
119,0.0,3.0
120,-1.0,-3.0
121,1.0,7.0
122,-1.0,1.0
123,0.0,-3.0
124,1.0,-1.0
125,-1.0,-1.0
126,1.0,-3.0
127,1.0,0.0
128,0.0,0.0
