,note length,pitch
0,0.0,0.0
1,-0.0,0.0
2,1.0,0.0
3,-1.0,-3.0
4,1.0,8.0
5,-1.0,-5.0
6,0.0,2.0
7,-1.0,-6.0
8,2.0,1.0
9,0.0,-2.0
10,-1.0,0.0
11,0.0,-1.0
12,0.0,11.0
13,0.0,-3.0
14,1.0,3.0
15,-1.0,-3.0
16,1.0,-9.0
17,1.0,2.0
18,-1.0,3.0
19,-1.0,-6.0
20,-1.0,1.0
21,2.0,2.0
22,-1.0,0.0
23,0.0,-2.0
24,0.0,2.0
25,0.0,1.0
26,2.0,1.0
27,-1.0,0.0
28,-1.0,0.0
29,1.0,1.0
30,1.0,1.0
31,-1.0,1.0
32,0.0,2.0
33,0.0,-2.0
34,-1.0,1.0
35,0.0,1.0
36,2.0,-2.0
37,-3.0,-3.0
38,1.0,1.0
39,1.0,2.0
40,1.0,2.0
41,-1.0,-2.0
42,-1.0,2.0
43,2.0,2.0
44,-2.0,-2.0
45,0.0,2.0
46,0.0,1.0
47,0.0,-7.0
48,0.0,-1.0
49,0.0,-2.0
50,0.0,7.0
51,2.0,-2.0
52,-3.0,-4.0
53,1.0,1.0
54,1.0,3.0
55,-1.0,-2.0
56,1.0,2.0
57,-1.0,0.0
58,1.0,0.0
59,-2.0,1.0
60,1.0,1.0
61,0.0,0.0
