,note length,pitch
0,0.0,-3.0
1,0.0,3.0
2,0.0,-3.0
3,-1.0,4.0
4,0.0,2.0
5,1.0,1.0
6,-1.0,2.0
7,0.0,2.0
8,2.0,-3.0
9,4.0,4.0
10,-6.0,-8.0
11,1.0,1.0
12,-1.0,1.0
13,0.0,-5.0
14,1.0,6.0
15,-1.0,-1.0
16,0.0,-1.0
17,1.0,-3.0
18,-1.0,0.0
19,0.0,1.0
20,0.0,-1.0
21,0.0,-3.0
22,0.0,-3.0
23,0.0,2.0
24,0.0,-8.0
25,0.0,6.0
26,0.0,-1.0
27,0.0,4.0
28,0.0,-7.0
29,1.0,-3.0
30,0.0,2.0
31,0.0,-8.0
32,-1.0,-1.0
33,4.0,-1.0
34,-3.0,11.0
35,0.0,-6.0
36,0.0,2.0
37,0.0,1.0
38,0.0,2.0
39,0.0,-3.0
40,0.0,0.0
41,0.0,-4.0
42,-1.0,4.0
43,1.0,-2.0
44,-1.0,2.0
45,1.0,3.0
46,-0.0,2.0
47,1.0,2.0
48,0.0,-3.0
49,-1.0,0.0
50,0.0,-1.0
51,-1.0,8.0
52,0.0,-1.0
53,1.0,-1.0
54,-0.0,2.0
55,0.0,0.0
56,0.0,2.0
57,-1.0,2.0
58,1.0,-11.0
59,0.0,7.0
60,-1.0,2.0
61,1.0,2.0
62,-1.0,-3.0
63,1.0,-1.0
64,0.0,-2.0
65,1.0,-1.0
66,-1.0,-6.0
67,0.0,-2.0
68,-1.0,-4.0
69,0.0,7.0
70,0.0,5.0
71,1.0,-1.0
72,-1.0,-3.0
73,0.0,-3.0
74,1.0,2.0
75,0.0,-3.0
76,0.0,-5.0
77,0.0,5.0
78,-1.0,-3.0
79,0.0,3.0
80,1.0,2.0
81,0.0,1.0
82,0.0,6.0
83,-1.0,-2.0
84,0.0,-4.0
85,0.0,-3.0
86,1.0,4.0
87,0.0,2.0
88,-1.0,2.0
89,1.0,5.0
90,0.0,-7.0
91,-1.0,5.0
92,1.0,2.0
93,0.0,3.0
94,-0.0,2.0
95,0.0,1.0
96,0.0,-3.0
97,3.0,2.0
98,-4.0,1.0
99,0.0,-1.0
100,0.0,-1.0
101,3.0,-1.0
102,-2.0,-12.0
103,1.0,12.0
104,0.0,0.0
105,-0.0,0.0
106,0.0,0.0
107,-1.0,-1.0
108,0.0,1.0
109,0.0,-1.0
110,0.0,1.0
111,0.0,2.0
112,2.0,-3.0
113,-3.0,4.0
114,0.0,-4.0
115,0.0,-3.0
116,1.0,1.0
117,0.0,2.0
118,0.0,-3.0
119,-1.0,-5.0
120,2.0,-2.0
